model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,5000,smc,1,00 1 10,3,72,0
model1,5000,smc,2,000 1 10 100,4,72,0
model1,5000,smc,3,00000 1 10 100 1000 10000,6,72,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,72,1
model1,5000,smc,0,0 1,2,73,0
model1,5000,smc,1,00 1 10,3,73,0
model1,5000,smc,2,000 1 10 100,4,73,0
model1,5000,smc,3,0000 1 10 100 1000,5,73,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,73,0
model1,5000,smc,0,0 1,2,74,0
model1,5000,smc,1,00 1 10,3,74,0
model1,5000,smc,2,000 1 10 100,4,74,0
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,74,1
model1,5000,smc,0,0 1,2,75,0
model1,5000,smc,1,00 1 10,3,75,0
model1,5000,smc,2,000 1 10 100,4,75,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,75,0
model1,5000,smc,0,0 1,2,76,0
model1,5000,smc,1,00 1 10,3,76,0
model1,5000,smc,2,000 1 10 100,4,76,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,76,0
model1,5000,smc,0,0 1,2,77,0
model1,5000,smc,1,00 1 10,3,77,0
model1,5000,smc,2,000 1 10 100,4,77,0
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,77,1
model1,5000,smc,0,0 1,2,78,0
model1,5000,smc,1,00 1 10,3,78,0
model1,5000,smc,2,000 1 10 100,4,78,0
model1,5000,smc,3,00000 1 10 100 1000 10000,6,78,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,78,0
model1,5000,smc,0,0 1,2,79,0
model1,5000,smc,1,00 1 10,3,79,0
model1,5000,smc,2,000 1 10 100,4,79,0
model1,5000,smc,3,0000 1 10 100 1000,5,79,0
model1,5000,smc,4,00000 1 10 100 1000 10000,6,79,0
model1,5000,smc,5,000000 1 10 100 1000 10000 100000,7,79,1
model1,5000,smc,0,0 1,2,80,0
model1,5000,smc,1,00 1 10,3,80,0
model1,5000,smc,2,000 1 10 100,4,80,0
model1,5000,smc,3,00000 1 10 100 1000 10000,6,80,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,80,0
model1,5000,smc,0,0 1,2,81,0
model1,5000,smc,1,00 1 10,3,81,0
model1,5000,smc,2,000 1 10 100,4,81,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,81,0
model1,5000,smc,0,0 1,2,82,0
model1,5000,smc,1,00 1 10,3,82,0
model1,5000,smc,2,000 1 10 100,4,82,0
model1,5000,smc,3,0000 1 10 100 1000,5,82,1
model1,5000,smc,4,00000 1 10 100 1000 10000,6,82,0
model1,5000,smc,0,0 1,2,83,0
model1,5000,smc,1,00 1 10,3,83,0
model1,5000,smc,2,000 1 10 100,4,83,0
model1,5000,smc,3,00000 1 10 100 1000 10000,6,83,1
model1,5000,smc,0,0 1,2,84,0
model1,5000,smc,1,00 1 10,3,84,0
model1,5000,smc,2,000 1 10 100,4,84,0
model1,5000,smc,3,0000 1 10 100 1000,5,84,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,84,0
model1,5000,smc,0,0 1,2,85,0
model1,5000,smc,1,00 1 10,3,85,0
model1,5000,smc,2,000 1 10 100,4,85,0
model1,5000,smc,3,00000 1 10 100 1000 10000,6,85,1
model1,5000,smc,0,0 1,2,86,0
model1,5000,smc,1,00 1 10,3,86,0
model1,5000,smc,2,000 1 10 100,4,86,0
model1,5000,smc,3,0000 1 10 100 1000,5,86,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,86,1
model1,5000,smc,0,0 1,2,87,0
model1,5000,smc,1,00 1 10,3,87,0
model1,5000,smc,2,000 1 10 100,4,87,0
model1,5000,smc,3,0000 1 10 100 1000,5,87,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,87,0
model1,5000,smc,0,0 1,2,88,0
model1,5000,smc,1,00 1 10,3,88,0
model1,5000,smc,2,000 1 10 100,4,88,0
model1,5000,smc,3,0000 1 10 100 1000,5,88,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,88,0
model1,5000,smc,0,0 1,2,89,0
model1,5000,smc,1,00 1 10,3,89,0
model1,5000,smc,2,000 1 10 100,4,89,0
model1,5000,smc,3,0000 1 10 100 1000,5,89,0
model1,5000,smc,4,00000 1 10 100 1000 10000,6,89,0
model1,5000,smc,5,000000 1 10 100 1000 10000 100000,7,89,1
model1,5000,smc,0,0 1,2,90,0
model1,5000,smc,1,00 1 10,3,90,0
model1,5000,smc,2,000 1 10 100,4,90,0
model1,5000,smc,3,0000 1 10 100 1000,5,90,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,90,1
model1,5000,smc,0,0 1,2,91,0
model1,5000,smc,1,00 1 10,3,91,0
model1,5000,smc,2,000000 1 10 100 1000 10000 100000,7,91,1
model1,5000,smc,0,0 1,2,92,0
model1,5000,smc,1,00 1 10,3,92,0
model1,5000,smc,2,000 1 10 100,4,92,0
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,92,1
model1,5000,smc,0,0 1,2,93,0
model1,5000,smc,1,00 1 10,3,93,0
model1,5000,smc,2,000 1 10 100,4,93,0
model1,5000,smc,3,0000 1 10 100 1000,5,93,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,93,1
model1,5000,smc,0,0 1,2,94,0
model1,5000,smc,1,00 1 10,3,94,0
model1,5000,smc,2,000 1 10 100,4,94,0
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,94,1
